,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,MB 100, POBLACION TOTAL , VIVIENDAS TOTALES ,% POBREZA TOTAL,POBLACION POBREZA TOTAL, % POBREZA EXTREMA , POBLACION POBREZA EXTREMA , % REZAGO EDUCATIVO , POBLACION REZAGO EDUCATIVO , % CARENCIA POR ACCESO A LOS SERVICIOS DE SALUD , POBLACION CARENCIA POR ACCESO A LOS SERVICIOS DE SALUD , % CARENCIA POR ACCESO A LA SEGURIDAD SOCIAL , POBLACION CARENCIA POR ACCESO A LA SEGURIDAD SOCIAL , % CARENCIA POR CALIDAD Y ESPACIOS EN LA VIVIENDA , POBLACION CARENCIA POR CALIDAD Y ESPACIOS EN LA VIVIENDA , % CARENCIA POR SERVICIOS BÁSICOS EN LA VIVIENDA , POBLACION CARENCIA POR SERVICIOS BÁSICOS EN LA VIVIENDA , % CARENCIA POR ACCESO A LA ALIMENTACION , POBLACION CARENCIA POR ACCESO A LA ALIMENTACION , % Población con ingreso inferior a la línea de pobreza por ingresos , Población con ingreso inferior a la línea de pobreza por ingresos , % Población con ingreso inferior a la línea de pobreza extrema por ingresos , Población con ingreso inferior a la línea de pobreza extrema por ingresos , GRADO DE REZAGO SOCIAL , %Población de 15 años o más analfabeta , % Población de 6 a 14 años que no asiste a la escuela , % Población de 15 años y más con educación básica incompleta , % Población sin derechohabiencia a servicios de salud , % Viviendas con piso de tierra , % Viviendas que no disponen de excusado o sanitario , % Viviendas que no disponen de agua entubada de la red pública , % Viviendas que no disponen de drenaje , % Viviendas que no disponen de energía eléctrica , % Viviendas que no disponen de lavadora , % Viviendas que no disponen de refrigerador , GRADO DE MARGINACION , % Población de 15 años o más analfabeta  , % Población  de 15 años o más sin educación básica , % Ocupantes en viviendas particulares sin drenaje ni excusado , % Ocupantes en viviendas particulares sin energía eléctrica , % Ocupantes en viviendas particulares sin agua entubada , % Ocupantes en viviendas particulares con piso de tierra , % Viviendas particulares con hacinamiento , % Población en localidades con menos de 5 000 habitantes , % Población ocupada con ingresos menores a 2 salarios mínimos , % VIVIENDAS CON PAREDES DE MATERIALES ENDEBLES , % VIVIENDAS CON TECHOS DE MATERIALES ENDEBLES , FAISMUN 2023 
20175,San Juan Bautista Atatlahuca,NO," 1,424 ", 394 , 90.5 ," 1,289 ", 28.07 , 400 , 31.39 , 447 , 10.08 , 144 , 85.31 ," 1,216 ", 20.23 , 288 , 84.67 ," 1,206 ", 11.02 , 157 , 91.30 ," 1,301 ", 59.50 , 848 ,Medio, 17.34 , 4.15 , 59.70 , 10.81 , 8.88 , 1.27 , 0.76 , 42.39 , 2.28 , 34.77 , 12.44 ,Alto, 17.3 , 59.7 , 0.9 , 2.2 , 0.8 , 9.2 , 24.6 , 100.0 , 95.9 , 10.77 , -   ," 4,434,506 "
20176,San Juan Bautista Coixtlahuaca,NO," 2,725 ", 835 , 79.1 ," 2,156 ", 22.33 , 609 , 22.65 , 618 , 22.61 , 616 , 72.86 ," 1,986 ", 16.79 , 458 , 58.76 ," 1,602 ", 18.70 , 510 , 81.65 ," 2,226 ", 49.72 ," 1,355 ",Medio, 8.28 , 2.99 , 46.56 , 23.56 , 11.74 , 4.79 , 25.27 , 29.10 , 5.75 , 58.32 , 52.81 ,Alto, 8.3 , 46.8 , 3.0 , 4.2 , 23.5 , 10.8 , 25.6 , 100.0 , 89.9 , 2.03 , 0.24 ," 8,913,717 "
20177,San Juan Bautista Cuicatlán,NO," 10,365 "," 3,101 ", 66.6 ," 5,604 ", 20.51 ," 1,727 ", 26.68 ," 2,247 ", 33.10 ," 2,787 ", 78.39 ," 6,601 ", 21.70 ," 1,827 ", 53.61 ," 4,514 ", 23.84 ," 2,007 ", 68.53 ," 5,770 ", 33.54 ," 2,824 ",Bajo, 7.79 , 6.26 , 47.24 , 20.70 , 16.29 , 1.45 , 1.68 , 13.77 , 1.00 , 54.14 , 27.64 ,Bajo, 7.8 , 47.3 , 0.8 , 0.6 , 1.6 , 16.5 , 29.5 , 47.9 , 85.5 , 8.32 , 0.29 ," 16,536,813 "
20178,San Juan Bautista Guelache,NO," 6,692 "," 1,787 ", 38.9 ," 2,603 ", 8.32 , 557 , 13.94 , 933 , 35.77 ," 2,395 ", 59.46 ," 3,981 ", 14.19 , 950 , 33.27 ," 2,227 ", 18.49 ," 1,238 ", 42.01 ," 2,813 ", 14.73 , 986 ,Muy bajo, 2.69 , 2.93 , 26.86 , 37.73 , 5.60 , 0.62 , 11.30 , 5.43 , 0.50 , 34.42 , 11.92 ,Bajo, 2.7 , 26.9 , 0.4 , 0.5 , 11.3 , 5.9 , 19.6 , 100.0 , 72.5 , 4.31 , 0.79 ," 6,499,876 "
20179,San Juan Bautista Jayacatlán,NO," 1,447 ", 409 , 87.1 ," 1,261 ", 26.46 , 383 , 30.93 , 448 , 18.31 , 265 , 82.32 ," 1,192 ", 23.79 , 344 , 74.76 ," 1,082 ", 9.50 , 138 , 88.04 ," 1,275 ", 51.53 , 746 ,Bajo, 8.35 , 5.47 , 60.82 , 18.38 , 16.14 , 1.71 , 1.22 , 6.60 , 1.71 , 33.50 , 20.05 ,Medio, 8.3 , 60.8 , 0.9 , 1.2 , 1.0 , 16.9 , 28.1 , 100.0 , 96.4 , 7.33 , 0.73 ," 4,758,472 "
20180,San Juan Bautista Lo de Soto,NO," 2,344 ", 742 , 51.8 ," 1,214 ", 11.54 , 271 , 25.00 , 586 , 30.02 , 704 , 77.16 ," 1,809 ", 23.94 , 561 , 56.69 ," 1,329 ", 39.83 , 934 , 52.26 ," 1,226 ", 15.95 , 374 ,Bajo, 15.15 , 3.23 , 44.80 , 29.86 , 6.47 , 7.41 , 2.16 , 10.92 , 1.62 , 39.76 , 13.07 ,Medio, 15.2 , 44.9 , 5.9 , 0.8 , 1.5 , 6.9 , 25.2 , 100.0 , 86.5 , 2.56 , 0.27 ," 5,277,934 "
20181,San Juan Bautista Suchitepec,NO, 453 , 161 , 78.0 , 353 , 17.09 , 77 , 37.47 , 170 , 11.74 , 53 , 66.37 , 301 , 19.64 , 89 , 58.01 , 263 , 9.26 , 42 , 82.23 , 372 , 43.11 , 195 ,Medio, 11.39 , 1.79 , 65.83 , 11.92 , 9.32 , 6.83 , 1.86 , 14.91 , 2.48 , 58.39 , 36.02 ,Medio, 11.4 , 66.0 , 3.1 , 1.1 , 1.3 , 11.5 , 20.5 , 100.0 , 96.9 , 3.11 , 0.62 ," 2,426,271 "
20182,San Juan Bautista Tlacoatzintepec,NO," 2,181 ", 546 , 93.2 ," 2,035 ", 44.27 , 966 , 34.27 , 748 , 20.49 , 447 , 79.08 ," 1,726 ", 21.43 , 468 , 96.92 ," 2,115 ", 43.74 , 954 , 93.61 ," 2,043 ", 66.67 ," 1,455 ",Muy alto, 28.64 , 4.55 , 63.60 , 20.68 , 15.20 , 3.48 , 13.37 , 96.52 , 1.83 , 87.18 , 38.46 ,Alto, 28.6 , 63.6 , 1.8 , 1.4 , 12.4 , 14.8 , 26.9 , 100.0 , 94.7 , 2.01 , 0.18 ," 8,724,898 "
20183,San Juan Bautista Tlachichilco,NO," 1,475 ", 373 , 84.3 ," 1,244 ", 29.50 , 435 , 34.86 , 515 , 26.68 , 394 , 86.35 ," 1,274 ", 10.33 , 152 , 76.85 ," 1,134 ", 35.14 , 519 , 84.74 ," 1,251 ", 47.72 , 704 ,Medio, 20.16 , 4.59 , 63.16 , 26.92 , 5.36 , 3.22 , 10.72 , 8.58 , 0.54 , 43.97 , 22.79 ,Alto, 20.2 , 63.1 , 2.0 , 0.2 , 9.4 , 5.3 , 30.8 , 100.0 , 93.8 , 1.34 , 0.54 ," 5,142,747 "
20184,San Juan Bautista Tuxtepec,SI," 159,452 "," 47,017 ", 53.4 ," 88,828 ", 17.97 ," 29,910 ", 23.34 ," 38,852 ", 57.55 ," 95,790 ", 65.94 ," 109,749 ", 10.54 ," 17,536 ", 36.24 ," 60,319 ", 34.86 ," 58,026 ", 58.64 ," 97,605 ", 26.93 ," 44,824 ",Bajo, 7.11 , 4.94 , 35.66 , 33.50 , 5.37 , 2.14 , 5.98 , 4.45 , 0.97 , 29.56 , 14.05 ,Bajo, 7.1 , 35.7 , 1.6 , 0.7 , 5.9 , 5.6 , 23.3 , 35.0 , 76.7 , 0.55 , 0.58 ," 210,482,824 "
20185,San Juan Cacahuatepec,NO," 8,939 "," 2,388 ", 70.5 ," 6,306 ", 25.41 ," 2,273 ", 20.37 ," 1,822 ", 18.70 ," 1,672 ", 75.34 ," 6,737 ", 31.02 ," 2,774 ", 66.29 ," 5,928 ", 39.36 ," 3,520 ", 73.32 ," 6,557 ", 36.24 ," 3,241 ",Bajo, 9.88 , 4.17 , 40.65 , 23.38 , 11.64 , 5.40 , 9.72 , 9.46 , 1.59 , 55.70 , 21.98 ,Medio, 9.9 , 40.8 , 3.8 , 1.2 , 9.3 , 11.8 , 31.2 , 100.0 , 78.5 , 3.60 , 0.72 ," 15,505,010 "
20186,San Juan Cieneguilla,NO, 524 , 171 , 79.6 , 417 , 14.89 , 78 , 29.13 , 153 , 9.13 , 48 , 76.12 , 399 , 10.10 , 53 , 65.83 , 345 , 9.90 , 52 , 81.57 , 427 , 42.83 , 224 ,Bajo, 16.58 , 3.37 , 56.58 , 9.35 , 7.60 , 7.60 , 0.58 , 7.60 , 0.58 , 26.90 , 21.64 ,Medio, 16.6 , 56.7 , 6.7 , 0.2 , 0.2 , 7.3 , 17.5 , 100.0 , 87.1 , 1.17 , 1.17 ," 2,746,092 "
20187,San Juan Coatzóspam,NO," 1,808 ", 521 , 93.5 ," 1,692 ", 48.37 , 875 , 45.66 , 826 , 19.06 , 345 , 83.73 ," 1,515 ", 22.43 , 406 , 97.26 ," 1,759 ", 36.36 , 658 , 93.57 ," 1,693 ", 65.41 ," 1,183 ",Alto, 26.08 , 7.94 , 68.01 , 19.69 , 6.53 , 4.03 , 9.40 , 52.40 , 3.65 , 79.65 , 80.04 ,Alto, 26.1 , 68.1 , 2.6 , 2.1 , 8.5 , 5.4 , 30.5 , 100.0 , 95.9 , 16.83 , -   ," 10,836,483 "
20188,San Juan Colorado,NO," 9,609 "," 2,578 ", 85.5 ," 8,222 ", 43.34 ," 4,167 ", 32.53 ," 3,127 ", 17.99 ," 1,729 ", 84.13 ," 8,087 ", 41.73 ," 4,011 ", 86.60 ," 8,325 ", 62.15 ," 5,974 ", 86.06 ," 8,273 ", 51.23 ," 4,925 ",Alto, 19.54 , 7.42 , 57.88 , 19.68 , 24.71 , 4.03 , 9.54 , 6.48 , 5.93 , 86.85 , 56.71 ,Alto, 19.6 , 58.0 , 2.7 , 5.2 , 9.6 , 24.8 , 38.1 , 40.9 , 94.9 , 6.66 , 3.75 ," 29,546,185 "
20189,San Juan Comaltepec,SI," 3,116 ", 697 , 96.4 ," 3,005 ", 55.17 ," 1,720 ", 40.63 ," 1,266 ", 14.77 , 460 , 92.95 ," 2,897 ", 30.36 , 946 , 80.86 ," 2,520 ", 41.23 ," 1,285 ", 97.13 ," 3,027 ", 80.34 ," 2,504 ",Muy alto, 17.27 , 15.81 , 64.20 , 14.60 , 22.67 , 0.29 , 6.17 , 76.18 , 10.04 , 87.37 , 54.38 ,Muy alto, 17.3 , 64.3 , 0.2 , 9.8 , 5.5 , 23.9 , 33.1 , 100.0 , 98.4 , 5.75 , 0.72 ," 17,000,117 "
20190,San Juan Cotzocón,NO," 22,444 "," 6,145 ", 74.4 ," 17,393 ", 27.23 ," 6,366 ", 29.87 ," 6,984 ", 35.51 ," 8,303 ", 87.21 ," 20,390 ", 13.13 ," 3,071 ", 78.92 ," 18,452 ", 33.41 ," 7,811 ", 74.90 ," 17,512 ", 43.45 ," 10,158 ",Medio, 16.14 , 5.44 , 55.00 , 22.57 , 11.59 , 2.07 , 15.93 , 26.69 , 2.49 , 54.74 , 29.29 ,Alto, 16.2 , 55.1 , 1.4 , 2.1 , 16.4 , 12.4 , 28.1 , 100.0 , 88.4 , 1.24 , 0.56 ," 53,024,323 "
20191,San Juan Chicomezúchil,NO, 296 , 92 , 73.1 , 217 , 11.71 , 35 , 15.54 , 46 , 10.14 , 30 , 72.30 , 214 , 28.04 , 83 , 40.20 , 119 , 10.14 , 30 , 78.70 , 233 , 41.45 , 123 ,Bajo, 3.02 , -   , 54.74 , 10.14 , 19.57 , 1.09 , -   , 5.43 , -   , 48.91 , 27.17 ,Medio, 3.0 , 54.7 , 0.3 , -   , -   , 25.7 , 25.0 , 100.0 , 87.8 , -   , -   ," 1,391,582 "
20192,San Juan Chilateca,NO," 1,522 ", 451 , 34.8 , 529 , 3.73 , 57 , 11.44 , 174 , 40.03 , 610 , 51.40 , 783 , 14.49 , 221 , 12.97 , 197 , 6.45 , 98 , 39.95 , 608 , 12.07 , 184 ,Muy bajo, 2.58 , 0.55 , 33.28 , 41.52 , 7.32 , 1.33 , 3.10 , 4.43 , -   , 29.27 , 11.75 ,Muy bajo, 2.6 , 33.3 , 0.7 , -   , 2.4 , 7.4 , 14.6 , 100.0 , 78.9 , 4.86 , 0.22 ," 2,773,812 "
20193,San Juan del Estado,NO," 2,807 ", 731 , 66.7 ," 1,873 ", 13.84 , 389 , 23.68 , 665 , 44.61 ," 1,253 ", 73.97 ," 2,077 ", 19.59 , 550 , 28.71 , 806 , 13.65 , 383 , 71.11 ," 1,997 ", 27.25 , 765 ,Bajo, 5.35 , 2.43 , 44.56 , 45.14 , 15.87 , 0.96 , 0.68 , 10.40 , 0.82 , 27.09 , 16.01 ,Bajo, 5.4 , 44.8 , 0.5 , 0.4 , 0.5 , 15.2 , 26.9 , 100.0 , 77.9 , 1.23 , 0.27 ," 4,893,437 "
20194,San Juan del Río,NO," 1,372 ", 442 , 76.4 ," 1,048 ", 15.45 , 212 , 35.65 , 489 , 39.70 , 545 , 80.96 ," 1,112 ", 4.94 , 68 , 47.90 , 658 , 7.68 , 105 , 77.67 ," 1,066 ", 36.70 , 504 ,Bajo, 14.88 , 1.38 , 60.14 , 39.87 , 1.58 , 0.90 , -   , 0.90 , 0.45 , 46.38 , 13.57 ,Medio, 14.9 , 60.1 , 0.2 , 0.1 , -   , 1.5 , 13.6 , 100.0 , 93.8 , 0.45 , -   ," 2,959,566 "
20195,San Juan Diuxi,NO," 1,056 ", 391 , 94.8 ," 1,001 ", 50.93 , 538 , 50.19 , 530 , 30.65 , 324 , 71.25 , 752 , 30.46 , 322 , 92.79 , 980 , 29.70 , 314 , 94.86 ," 1,002 ", 72.07 , 761 ,Muy alto, 33.94 , 1.39 , 73.91 , 31.06 , 16.62 , 1.53 , 28.90 , 48.59 , 1.79 , 78.77 , 63.43 ,Muy alto, 33.9 , 73.9 , 1.0 , 1.4 , 25.4 , 16.9 , 21.5 , 100.0 , 95.3 , 12.02 , -   ," 4,834,792 "
20196,San Juan Evangelista Analco,NO, 407 , 135 , 82.7 , 337 , 9.53 , 39 , 20.74 , 84 , 15.56 , 63 , 70.86 , 288 , 15.06 , 61 , 30.37 , 124 , 2.96 , 12 , 89.27 , 363 , 56.84 , 231 ,Bajo, 2.80 , 1.96 , 53.42 , 15.72 , 13.33 , 2.22 , -   , 2.96 , -   , 34.81 , 24.44 ,Bajo, 2.8 , 53.6 , 2.9 , -   , -   , 14.0 , 11.9 , 100.0 , 86.5 , 0.74 , 1.48 ," 2,402,596 "
20197,San Juan Guelavía,NO," 3,288 ", 987 , 77.9 ," 2,562 ", 17.91 , 589 , 35.14 ," 1,156 ", 31.54 ," 1,038 ", 78.35 ," 2,578 ", 17.37 , 571 , 54.73 ," 1,801 ", 13.27 , 437 , 80.09 ," 2,635 ", 34.22 ," 1,126 ",Bajo, 11.20 , 1.63 , 63.12 , 32.18 , 9.02 , 1.93 , 6.48 , 8.41 , 1.22 , 61.09 , 22.80 ,Medio, 11.2 , 63.2 , 1.5 , 1.0 , 6.0 , 10.1 , 28.6 , 100.0 , 84.6 , 6.77 , 0.71 ," 7,559,839 "
20198,San Juan Guichicovi,NO," 29,802 "," 9,047 ", 71.3 ," 20,549 ", 22.37 ," 6,450 ", 38.16 ," 11,004 ", 28.70 ," 8,276 ", 70.06 ," 20,202 ", 16.21 ," 4,675 ", 79.49 ," 22,919 ", 26.67 ," 7,689 ", 75.23 ," 21,690 ", 39.57 ," 11,410 ",Medio, 28.60 , 6.26 , 59.77 , 20.28 , 7.06 , 4.80 , 10.09 , 13.44 , 2.79 , 72.96 , 36.74 ,Alto, 28.6 , 59.8 , 3.9 , 2.3 , 9.2 , 7.0 , 31.1 , 100.0 , 92.3 , 2.07 , 0.33 ," 66,350,365 "
20199,San Juan Ihualtepec,NO, 494 , 143 , 93.5 , 462 , 42.74 , 211 , 51.59 , 255 , 22.62 , 112 , 67.86 , 335 , 21.35 , 105 , 80.13 , 396 , 26.22 , 130 , 94.01 , 464 , 68.73 , 340 ,Medio, 29.29 , 4.23 , 76.25 , 21.05 , 7.69 , 5.59 , 11.89 , 26.57 , 1.40 , 52.45 , 25.17 ,Alto, 29.3 , 76.3 , 5.7 , 1.2 , 11.5 , 9.8 , 24.6 , 100.0 , 95.2 , 4.90 , -   ," 3,690,042 "
20200,San Juan Juquila Mixes,SI," 3,703 "," 1,071 ", 82.5 ," 3,058 ", 29.31 ," 1,086 ", 45.82 ," 1,698 ", 22.19 , 822 , 74.92 ," 2,776 ", 28.44 ," 1,054 ", 83.31 ," 3,087 ", 11.39 , 422 , 83.28 ," 3,086 ", 46.43 ," 1,720 ",Muy alto, 30.12 , 24.70 , 63.97 , 22.47 , 23.44 , 5.42 , 0.56 , 25.30 , 1.40 , 88.33 , 61.62 ,Alto, 30.1 , 64.0 , 5.7 , 0.9 , 0.3 , 23.4 , 30.4 , 100.0 , 92.6 , 1.40 , 0.37 ," 12,693,878 "
20201,San Juan Juquila Vijanos,NO," 1,880 ", 560 , 88.9 ," 1,673 ", 29.92 , 563 , 30.24 , 569 , 17.75 , 334 , 90.88 ," 1,710 ", 31.26 , 588 , 80.48 ," 1,514 ", 8.69 , 163 , 89.11 ," 1,676 ", 53.80 ," 1,012 ",Alto, 11.81 , 3.93 , 61.89 , 18.56 , 28.57 , 1.43 , 0.54 , 7.50 , 1.43 , 84.29 , 65.36 ,Alto, 11.8 , 61.8 , 0.6 , 1.1 , 0.4 , 27.9 , 33.6 , 100.0 , 97.4 , 2.68 , 0.89 ," 5,313,759 "
20202,San Juan Lachao,NO," 4,577 "," 1,092 ", 73.6 ," 3,370 ", 17.41 , 797 , 34.79 ," 1,593 ", 7.89 , 361 , 90.02 ," 4,122 ", 25.02 ," 1,146 ", 62.09 ," 2,843 ", 18.13 , 830 , 73.98 ," 3,388 ", 32.40 ," 1,484 ",Medio, 17.55 , 5.58 , 60.27 , 8.26 , 9.62 , 3.11 , 2.29 , 13.00 , 1.92 , 72.71 , 38.46 ,Alto, 17.5 , 60.3 , 1.0 , 2.1 , 2.9 , 9.6 , 38.2 , 100.0 , 91.1 , 5.50 , 0.64 ," 11,604,378 "
20203,San Juan Lachigalla,NO," 3,538 ", 830 , 91.9 ," 3,254 ", 40.25 ," 1,425 ", 33.87 ," 1,199 ", 18.27 , 647 , 91.13 ," 3,226 ", 30.63 ," 1,084 ", 85.25 ," 3,018 ", 26.17 , 926 , 92.19 ," 3,263 ", 61.16 ," 2,165 ",Alto, 19.45 , 6.12 , 59.39 , 18.49 , 20.12 , 5.78 , 21.93 , 67.35 , 2.05 , 67.23 , 48.31 ,Muy alto, 19.5 , 59.4 , 4.0 , 1.6 , 22.3 , 18.8 , 47.1 , 100.0 , 97.9 , 0.84 , 0.24 ," 11,774,526 "
20204,San Juan Lajarcia,NO, 634 , 219 , 82.1 , 521 , 22.73 , 144 , 22.52 , 143 , 27.32 , 173 , 78.59 , 498 , 20.93 , 133 , 81.15 , 514 , 32.43 , 206 , 82.56 , 523 , 42.40 , 269 ,Bajo, 7.55 , 3.53 , 57.14 , 27.60 , 14.16 , 1.37 , 0.46 , 7.76 , 1.37 , 58.45 , 15.07 ,Medio, 7.6 , 57.1 , 0.9 , 1.3 , 0.3 , 14.0 , 17.4 , 100.0 , 97.6 , 2.28 , -   ," 3,140,477 "
20205,San Juan Lalana,SI," 16,989 "," 4,480 ", 90.6 ," 18,843 ", 56.26 ," 11,703 ", 42.49 ," 8,838 ", 46.03 ," 9,574 ", 83.75 ," 17,421 ", 18.97 ," 3,947 ", 93.12 ," 19,369 ", 68.24 ," 14,194 ", 90.95 ," 18,919 ", 67.14 ," 13,967 ",Alto, 21.71 , 10.22 , 69.16 , 36.05 , 17.28 , 1.18 , 15.27 , 43.30 , 4.15 , 83.37 , 46.56 ,Muy alto, 21.7 , 69.2 , 0.8 , 4.2 , 15.5 , 18.1 , 31.5 , 100.0 , 95.2 , 0.49 , 0.51 ," 80,570,709 "
20206,San Juan de los Cués,NO," 2,421 ", 721 , 72.1 ," 1,747 ", 25.04 , 606 , 24.42 , 591 , 25.67 , 622 , 78.96 ," 1,913 ", 21.87 , 530 , 61.56 ," 1,491 ", 24.08 , 583 , 73.89 ," 1,790 ", 39.53 , 957 ,Medio, 11.83 , 3.57 , 53.24 , 26.44 , 10.96 , 4.99 , 3.19 , 8.74 , 2.36 , 64.22 , 45.91 ,Alto, 11.8 , 53.2 , 3.6 , 1.7 , 2.4 , 11.6 , 31.1 , 100.0 , 90.8 , 1.94 , 0.69 ," 5,628,540 "
20207,San Juan Mazatlán,SI," 19,032 "," 5,016 ", 80.6 ," 14,925 ", 34.98 ," 6,478 ", 35.90 ," 6,647 ", 33.27 ," 6,161 ", 91.26 ," 16,899 ", 21.34 ," 3,952 ", 89.73 ," 16,616 ", 44.19 ," 8,182 ", 80.85 ," 14,971 ", 45.64 ," 8,451 ",Alto, 19.86 , 7.27 , 60.55 , 28.30 , 16.99 , 3.55 , 11.10 , 38.22 , 3.73 , 64.79 , 38.36 ,Alto, 19.9 , 60.6 , 2.8 , 3.2 , 10.5 , 17.2 , 35.0 , 100.0 , 95.0 , 0.88 , 0.65 ," 69,367,554 "
20208,San Juan Mixtepec - Dto. 08,NO," 6,941 "," 2,335 ", 85.9 ," 5,966 ", 39.36 ," 2,733 ", 44.32 ," 3,078 ", 41.59 ," 2,888 ", 77.31 ," 5,368 ", 21.15 ," 1,469 ", 79.84 ," 5,544 ", 32.94 ," 2,287 ", 86.65 ," 6,017 ", 54.31 ," 3,771 ",Alto, 30.74 , 3.93 , 65.62 , 42.21 , 14.00 , 5.70 , 6.90 , 60.13 , 3.73 , 67.45 , 55.55 ,Alto, 30.8 , 65.7 , 3.9 , 2.9 , 5.5 , 13.0 , 21.7 , 100.0 , 92.4 , 1.33 , 0.34 ," 27,139,573 "
20209,San Juan Mixtepec - Dto. 26,NO, 607 , 200 , 93.8 , 569 , 20.20 , 123 , 42.69 , 259 , 17.82 , 108 , 72.61 , 441 , 33.61 , 204 , 26.72 , 162 , 5.04 , 31 , 96.31 , 585 , 74.79 , 454 ,Alto, 33.61 , 4.29 , 68.04 , 17.63 , 26.50 , 0.50 , -   , 7.50 , 1.50 , 97.00 , 82.50 ,Alto, 33.6 , 68.0 , 0.3 , 0.5 , -   , 24.7 , 25.0 , 100.0 , 99.0 , 5.91 , 0.49 ," 4,314,397 "
20210,San Juan Ñumí,SI," 5,773 "," 1,676 ", 94.6 ," 5,467 ", 46.51 ," 2,686 ", 28.59 ," 1,651 ", 32.76 ," 1,892 ", 65.09 ," 3,760 ", 21.42 ," 1,237 ", 98.62 ," 5,696 ", 47.78 ," 2,760 ", 94.64 ," 5,467 ", 69.70 ," 4,026 ",Alto, 17.70 , 1.64 , 56.34 , 23.61 , 20.23 , 1.31 , 2.33 , 90.63 , 2.74 , 82.22 , 65.39 ,Alto, 17.7 , 56.4 , 0.9 , 2.0 , 2.1 , 18.7 , 22.2 , 100.0 , 96.9 , 0.82 , 0.12 ," 22,808,083 "
20211,San Juan Ozolotepec,NO," 3,411 ", 762 , 93.6 ," 3,196 ", 46.86 ," 1,599 ", 35.73 ," 1,220 ", 13.85 , 473 , 85.46 ," 2,917 ", 40.02 ," 1,366 ", 73.27 ," 2,501 ", 43.19 ," 1,474 ", 95.91 ," 3,273 ", 73.01 ," 2,492 ",Alto, 18.53 , 7.50 , 63.86 , 14.22 , 20.60 , 0.52 , 1.57 , 37.40 , 5.64 , 88.45 , 80.18 ,Alto, 18.5 , 64.0 , 0.4 , 5.1 , 1.0 , 22.3 , 51.2 , 100.0 , 97.5 , 8.27 , 1.84 ," 12,269,780 "
20212,San Juan Petlapa,SI," 3,117 ", 831 , 93.2 ," 2,907 ", 57.53 ," 1,794 ", 43.63 ," 1,361 ", 17.75 , 553 , 89.09 ," 2,778 ", 36.50 ," 1,138 ", 98.73 ," 3,078 ", 67.67 ," 2,110 ", 93.24 ," 2,907 ", 65.91 ," 2,055 ",Muy alto, 27.67 , 7.44 , 77.18 , 18.54 , 27.80 , 2.41 , 8.66 , 94.46 , 1.68 , 97.59 , 80.51 ,Muy alto, 27.7 , 77.2 , 1.7 , 1.4 , 7.1 , 27.4 , 44.6 , 100.0 , 96.2 , 1.08 , 0.24 ," 24,145,129 "
20213,San Juan Quiahije,NO," 4,203 ", 878 , 81.8 ," 3,441 ", 26.60 ," 1,118 ", 41.39 ," 1,741 ", 11.04 , 464 , 87.35 ," 3,673 ", 17.51 , 736 , 86.89 ," 3,654 ", 15.63 , 657 , 82.08 ," 3,452 ", 46.05 ," 1,936 ",Alto, 28.49 , 10.01 , 68.85 , 11.68 , 9.34 , 0.91 , 1.59 , 29.73 , 2.51 , 66.63 , 36.90 ,Alto, 28.6 , 69.4 , 0.7 , 1.6 , 1.2 , 8.4 , 30.9 , 100.0 , 88.6 , 1.48 , 0.34 ," 11,628,624 "
20214,San Juan Quiotepec,NO," 2,033 ", 547 , 85.8 ," 1,746 ", 21.31 , 433 , 37.12 , 755 , 7.72 , 157 , 85.30 ," 1,735 ", 18.98 , 386 , 42.45 , 863 , 20.43 , 416 , 86.51 ," 1,760 ", 53.88 ," 1,096 ",Medio, 21.76 , 6.71 , 61.01 , 7.87 , 9.69 , 1.65 , 1.10 , 11.70 , 1.28 , 40.04 , 12.61 ,Alto, 21.8 , 61.0 , 0.7 , 1.1 , 0.8 , 9.3 , 30.2 , 100.0 , 92.6 , 1.09 , -   ," 6,446,058 "
20215,San Juan Sayultepec,NO, 879 , 236 , 56.3 , 495 , 8.75 , 77 , 12.20 , 107 , 16.18 , 142 , 68.84 , 605 , 18.12 , 159 , 62.80 , 552 , 23.55 , 207 , 58.57 , 515 , 19.62 , 172 ,Bajo, 2.94 , 0.54 , 31.16 , 16.04 , 8.90 , 0.42 , 1.27 , 46.61 , 2.12 , 39.83 , 27.54 ,Bajo, 2.9 , 31.3 , 0.1 , 1.0 , 1.1 , 8.4 , 28.0 , 100.0 , 87.8 , 5.11 , -   ," 2,018,957 "
20216,San Juan Tabaá,NO," 1,241 ", 331 , 90.4 ," 1,123 ", 18.99 , 236 , 24.45 , 304 , 17.85 , 222 , 85.57 ," 1,063 ", 30.15 , 375 , 29.50 , 366 , 5.13 , 64 , 91.48 ," 1,136 ", 63.79 , 792 ,Medio, 8.40 , 1.60 , 46.63 , 17.89 , 27.19 , 0.60 , 0.30 , 0.60 , -   , 90.03 , 44.41 ,Medio, 8.4 , 46.6 , 0.1 , -   , 0.1 , 24.8 , 29.3 , 100.0 , 97.3 , 1.21 , 1.81 ," 3,024,660 "
